TaskId,ProjectId,TaskCode,TaskDiscipline,TaskType,SubTask,Name,Detail,UserIds,StartDate,TargetDate,FinishedDate,Hours,Modified,AutoLoad
4657,PRO-124-ATL-01,RND-RDT-MGMT-01,RnD,Tools For Revit,Project Management,Develop Revit Tools for ATL | Flyndlers Univ ,"1. Create View Sheets per room
2. Auto extend elevation/ crop views","(212),(213)",2021-06-07,2021-06-18,2021-06-23,50,,06/13/2022 1:39:00 PM
4658,PRO-125-ATX,STR-MOD-MDLU-01,Structure,Modelling,Model Upgrade,01. Disneyland project - Steel work - Upgrade 3D model and 2D documentation ,,"(227),(237)",2021-12-01,2021-12-31,2022-03-30,0,,06/13/2022 1:39:00 PM
4659,PRO-125-ATX,ARC-MOD-NEWM-01,Architecture,Modelling,New Model,01. Aicard Trulin project - Asbuilt modelling - Create 3D model from Point cloud,,(209),2021-12-15,2021-12-21,2022-03-30,0,,06/13/2022 1:39:00 PM
4660,PRO-126-BIMSYSTEMS-01,OTH-PJM-MGMT-01,Others,Project Management,Project Management,01. DOCUMENTATION - BIMSYSTEM,,"(188),(206),(73),(151),(170)",2021-08-02,2021-08-05,2022-03-30,0,,06/13/2022 1:39:00 PM
4661,PRO-143-CMV,ARC-MOD-NEWM-01,Architecture,Modelling,New Model,01. 3D Model Update,,,2022-04-22,2022-04-29,,0,,06/13/2022 1:39:00 PM
4662,PRO-143-CMV,ARC-MOD-NEWM-02,Architecture,Modelling,New Model,01. Review & Setup Project,,"(169),(231),(242),(262),(0),(274),(279),(275)",2022-04-18,2022-06-17,,0,,06/13/2022 1:39:00 PM
4663,PRO-143-CMV,ARC-MOD-NEWM-03,Architecture,Modelling,New Model,02. 3D Model Update,,"(169),(231),(242),(262),(0),(274),(279),(275)",2022-04-18,2022-06-17,,0,,06/13/2022 1:39:00 PM
4664,PRO-143-CMV,ARC-2DD-NEWM-01,Architecture,2D Documentation,New Model,02. 2D Documentation,,,2022-04-22,2022-04-29,,0,,06/13/2022 1:39:00 PM
4665,PRO-143-CMV,ARC-PJM-NEWM-01,Architecture,Project Management,New Model,03. Project Management & QA,,,2022-04-22,2022-04-29,,0,,06/13/2022 1:39:00 PM
4666,PRO-142-CUBE-01,OTH-QTO-STDM-01,Others,Quantity Take Off,Standardize Model,BOQ checking between Contractors for construction materials,BOQ checking between Contractors for construction materials,"(205),(73),(209),(170)",2022-01-14,2022-02-11,2022-03-30,0,,06/13/2022 1:39:00 PM
4667,PRO-142-CUBE-01,MEC-QTO-STDM-01,MEP,Quantity Take Off,Standardize Model,Package 03 - BOQ Review,,"(225),(170),(228)",2022-04-04,2022-04-07,2022-04-19,0,,06/13/2022 1:39:00 PM
4668,PRO-122-DK-01,ARC-MOD-NEWM-01,Architecture,Modelling,New Model,02-Modelling external,,"(183),(191),(176),(109)",2021-05-17,2021-05-28,2022-03-30,0,,06/13/2022 1:39:00 PM
4669,PRO-122-DK-01,ARC-MOD-NEWM-02,Architecture,Modelling,New Model,01-Concept Study,,"(176),(183),(191)",2021-05-17,2021-05-28,2022-03-30,0,,06/13/2022 1:39:00 PM
4670,PRO-122-DK-01,ARC-MOD-NEWM-03,Architecture,Modelling,New Model,03-Modelling internal,,"(183),(191),(176)",2021-05-17,2021-05-28,2022-03-30,0,,06/13/2022 1:39:00 PM
4671,PRO-122-DK-01,MEP-MOD-NEWM-01,MEP,Modelling,New Model,MEP Modeling,,"(217),(176),(208),(151),(196),(170)",2021-08-24,2021-08-27,2021-11-22,0,,06/13/2022 1:39:00 PM
4672,PRO-122-DK-01,MEP-MOD-NEWM-02,MEP,Modelling,New Model,MEP QC,,"(217),(176),(208),(151),(196),(170)",2021-08-24,2021-08-27,2021-11-22,0,,06/13/2022 1:39:00 PM
4673,PRO-122-DK-01,ARC-3DV-NEWM-01,Architecture,3D Visualization,New Model,04-3D Views Rendering ,,"(183),(191),(176)",2021-05-17,2021-05-28,2022-03-30,0,,06/13/2022 1:39:00 PM
4674,PRO-122-DK-01,ARC-3DV-NEWM-02,Architecture,3D Visualization,New Model,05-2D Master Plan,,"(183),(191),(176)",2021-05-17,2021-05-28,2022-03-30,0,,06/13/2022 1:39:00 PM
4675,PRO-122-DK-01,ARC-CRD-MGMT-01,Architecture,Coordination,Project Management,06-QA,,"(183),(191),(176),(224)",2021-05-17,2021-05-28,2022-03-30,0,,06/13/2022 1:39:00 PM
4676,PRO-122-DK-01,ARC-2DD-STDM-01,Architecture,2D Documentation,Standardize Model,2D Documentation for contruction,,"(217),(176),(208)",2021-07-06,2021-07-23,2022-03-30,0,,06/13/2022 1:39:00 PM
4677,PRO-000-TBF,MEP-PJM-NEWM-01,MEP,Project Management,New Model,05. General MEP Task,,"(187),(149)",2021-01-01,2021-12-31,,0,,06/13/2022 1:39:00 PM
4678,PRO-000-TBF,MEP-OTH-STDM-01,MEP,Others,Standardize Model,05. General MEP Task,,"(151),(223),(219),(196),(207),(220),(170),(205),(218),(225),(228),(229),(270),(271)",2021-12-20,2021-12-31,,0,,06/13/2022 1:39:00 PM
4679,PRO-000-TBF,MEP-OTH-STDM,MEP,Others,Standardize Model,06. PDM Standardization & Training,,"(151),(225),(228),(170),(149),(187),(212),(270),(271),(278),(277),(282)",2022-03-23,2022-03-26,,0,,06/14/2022 3:58:56 PM
4680,133-PRO-HKIA POOL,ARC-MOD-STDM,Architecture,Modelling,Standardize Model,01. Review,,"(183),(182),(231),(229),(218)",2021-12-20,2022-01-31,2022-06-29,0,,06/29/2022 4:39:04 PM
4681,133-PRO-HKIA POOL,ARC-MOD-STDM,Architecture,Modelling,Standardize Model,02.Model Pool,,"(183),(182),(231),(232),(188),(235),(237),(205),(229),(218),(245)",2021-12-27,2022-01-31,2022-06-29,0,,06/29/2022 4:21:29 PM
4682,133-PRO-HKIA POOL,ARC-MOD-STDM,Architecture,Modelling,Standardize Model,03.Electrical & Lighting,,"(183),(182),(231),(232),(188),(235),(237),(205),(229),(218),(245)",2021-12-27,2021-12-30,2022-06-29,0,,06/29/2022 4:21:32 PM
4683,133-PRO-HKIA POOL,ARC-MOD-STDM,Architecture,Modelling,Standardize Model,04.Model ARC,,"(183),(182),(231),(232),(188),(235),(237),(205),(229),(218),(245)",2021-12-27,2022-01-31,2022-06-29,0,,06/29/2022 4:21:36 PM
4684,133-PRO-HKIA POOL,ARC-MOD-STDM,Architecture,Modelling,Standardize Model,05.2D Documents,,"(183),(182),(231),(232),(188),(235),(237),(205),(229),(218),(221),(176),(210),(220),(191),(245),(242)",2021-12-27,2022-01-31,2022-06-29,0,,06/29/2022 4:21:39 PM
4685,PRO-118-TBF_A,ARC-OTH-MGMT-01,Architecture,Others,Project Management,Review input data and Generate RFIs,,(185),2021-03-05,2021-03-05,2021-03-25,0,,06/13/2022 1:39:00 PM
4686,PRO-118-TBF_A,ARC-MOD-NEWM-01,Architecture,Modelling,New Model,Families Creation,- Time for Creating Families,"(109),(176),(185)",2021-03-08,2021-03-19,2021-03-22,32,,06/13/2022 1:39:01 PM
4687,PRO-118-TBF_A,ARC-MOD-STDM-01,Architecture,Modelling,Standardize Model,Project Training,,"(109),(176),(185)",2021-03-08,2021-03-19,2021-03-19,0,,06/13/2022 1:39:01 PM
4688,PRO-118-TBF_A,ARC-MOD-STDM-02,Architecture,Modelling,Standardize Model,QC Model,,(185),2021-03-08,2021-03-19,2021-03-22,0,,06/13/2022 1:39:01 PM
4689,PRO-118-TBF_A,ARC-MOD-STDM-03,Architecture,Modelling,Standardize Model,Warehouse Modelling,- Build Warehouse,"(185),(176),(109)",2021-03-08,2021-03-19,2021-03-22,0,,06/13/2022 1:39:01 PM
4690,PRO-118-TBF_A,ARC-MOD-STDM-04,Architecture,Modelling,Standardize Model,Power Station Modelling,- Build Power Station,"(109),(185),(176)",2021-03-08,2021-03-19,2021-03-22,0,,06/13/2022 1:39:01 PM
4691,PRO-118-TBF_A,ARC-MOD-STDM-05,Architecture,Modelling,Standardize Model,Infrastructure Modelling,- Build Landscape,"(185),(109),(176)",2021-03-08,2021-03-19,2021-03-22,0,,06/13/2022 1:39:01 PM
4692,PRO-118-TBF_A,ARC-MTN-MGMT-01,Architecture,Meeting - Non Billable,Project Management,00-Internal Meeting,,(224),2021-03-22,2021-10-30,2021-03-25,0,,06/13/2022 1:39:01 PM
4693,PRO-118-TBF_A,ARC-PJM-MGMT-01,Architecture,Project Management,Project Management,Project Management,_ Schedule Project Timeline,"(185),(73)",2021-03-08,2021-03-19,2021-03-25,0,,06/13/2022 1:39:01 PM
4694,PRO-118-TBF_A,ARC-PJM-MGMT-02,Architecture,Project Management,Project Management,00-Check Resoure/Worload/Management/Training for Leader/Review model,,(224),2021-03-01,2021-10-30,2021-03-25,0,,06/13/2022 1:39:01 PM
4695,PRO-118-TBF_M,MEP-PJM-MGMT-01,MEP,Project Management,Project Management,Warehouse A6 Project Management,Warehouse A6 + Plantroom MEP LOD 300 Modelling,(187),2021-03-08,2021-03-19,2021-05-28,20,,06/13/2022 1:39:01 PM
4696,PRO-118-TBF_M,MEP-MOD-NEWM-01,MEP,Modelling,New Model,Warehouse A6 MEP LOD 300 Modelling,Warehouse A6 MEP LOD 300 Modelling,"(151),(196),(198),(207)",2021-03-10,2021-03-19,2021-05-28,288,,06/13/2022 1:39:01 PM
4697,PRO-118-TBF_M,MEP-MOD-NEWM-02,MEP,Modelling,New Model,Warehouse A6 MEP Family Creation,Warehouse A6 MEP Family Creation,"(151),(196),(198),(207)",2021-03-08,2021-03-10,2021-05-28,64,,06/13/2022 1:39:01 PM
4698,PRO-118-TBF_M,MEP-MOD-NEWM-03,MEP,Modelling,New Model,Warehouse A6 Infrastructure MEP Modelling,Warehouse A6 Infrastructure MEP Modelling,"(151),(196),(198)",2021-03-09,2021-03-16,2021-05-28,24,,06/13/2022 1:39:01 PM
4699,PRO-118-TBF_M,MEP-MOD-NEWM-04,MEP,Modelling,New Model,Warehouse A6 Plantroom MEP LOD 300 Modelling,Warehouse A6 Plantroom MEP LOD 300 Modelling,"(219),(196),(151)",2021-03-12,2021-03-15,2021-05-28,24,,06/13/2022 1:39:01 PM
4700,PRO-118-TBF_S,STR-PJM-MGMT-01,Structure,Project Management,Project Management,QC and coordination project,QC and coordination project,"(140),(209)",2021-03-05,2021-03-19,2021-03-19,100,,06/13/2022 1:39:01 PM
4701,PRO-118-TBF_S,STR-PJM-MGMT-02,Structure,Project Management,Project Management, Project management, Project management,"(214),(140)",2021-03-08,2021-03-19,2021-03-19,50,,06/13/2022 1:39:01 PM
4702,PRO-118-TBF_S,STR-MOD-NEWM-01,Structure,Modelling,New Model,Infrastructure work (Create 3D Model Manhole) ,Infrastructure work (Create 3D Model Manhole) ,"(139),(184)",2021-03-10,2021-03-15,2021-03-16,64,,06/13/2022 1:39:01 PM
4703,PRO-118-TBF_S,STR-MOD-NEWM-02,Structure,Modelling,New Model,Families Creation,Families Creation,"(199),(209),(139)",2021-03-08,2021-03-08,2021-03-17,24,,06/13/2022 1:39:01 PM
4704,PRO-118-TBF_S,STR-MOD-NEWM-03,Structure,Modelling,New Model,Training Family,Training Family,"(206),(200)",2021-03-05,2021-03-05,2021-03-08,16,,06/13/2022 1:39:01 PM
4705,PRO-118-TBF_S,STR-MOD-NEWM-04,Structure,Modelling,New Model,"STR Concrete work (Structure Floor, Colunm, Dock Leveler Slab and Stair)","STR Concrete work (Structure Floor, Colunm, Dock Leveler Slab and Stair)","(139),(184),(140)",2021-03-08,2021-03-09,2021-03-16,32,,06/13/2022 1:39:01 PM
4706,PRO-118-TBF_S,STR-MOD-NEWM-05,Structure,Modelling,New Model,STR Steel work (Create 3D Steel Framing) ,STR Steel work (Create 3D Steel Framing) ,"(209),(199),(140)",2021-03-09,2021-03-15,2021-03-19,69,,06/13/2022 1:39:01 PM
4707,PRO-118-TBF_S,STR-MOD-NEWM-06,Structure,Modelling,New Model,STR Concrete work (Power Station),STR Concrete work (Power Station),(139),2021-03-12,2021-03-12,2021-03-16,1,,06/13/2022 1:39:01 PM
4708,PRO-118-TBF_S,STR-MOD-NEWM-07,Structure,Modelling,New Model,STR Steel work (Create 3D Wall Framing) ,STR Steel work (Create 3D Wall Framing) ,"(199),(184),(139),(209),(140)",2021-03-12,2021-03-16,2021-03-17,32,,06/13/2022 1:39:01 PM
4709,PRO-118-TBF_S,STR-MOD-NEWM-08,Structure,Modelling,New Model,Infrastructure work (Create 3D Model Road) ,Infrastructure work (Create 3D Model Road) ,(184),2021-03-15,2021-03-15,2021-03-16,8,,06/13/2022 1:39:01 PM
4710,PRO-118-TBF_S,STR-MOD-NEWM-09,Structure,Modelling,New Model,STR Steel work (Create 3D Roof Framing) ,STR Steel work (Create 3D Roof Framing) ,"(199),(139),(209)",2021-03-15,2021-03-18,2021-03-17,20,,06/13/2022 1:39:01 PM
4711,PRO-118-TBF_S,STR-MOD-NEWM-10,Structure,Modelling,New Model,STR Steel work (Create 3D Canopy) ,STR Steel work (Create 3D Canopy) ,"(139),(140)",2021-03-15,2021-03-15,2021-03-19,2,,06/13/2022 1:39:01 PM
4712,PRO-118-TBF_S,STR-AST-NEWM-01,Structure,AssetData,New Model,Review input data and Generate RFIs,Review input data and Generate RFIs,"(139),(140),(209),(184),(199)",2021-03-04,2021-03-05,2021-03-08,40,,06/13/2022 1:39:01 PM
